vote,user,date,commentText,likes
0,Joe Bigs,3 days ago,"Bill the lying con guy actor who was NEVER A SCIENTIST'S and will continue lie ,SIN NOT FOR Y'ALL'S SIN WILL FIND U OUT GUARANTEE THAT FOLKS,SEEK JESUS BEFORE devil DECEIVED MORONS like Bill DECEIVE you!!!",0
1,Cameron Bouie,3 days ago,"Bill: breathes
Tucker:*WOAH WOAH SLOW DOWN*",2
0,E P,3 days ago,The old geezers losing his  marbles,0
1,Cooper The Man,3 days ago,"*Bill starts getting to his point, Tucker is obviously confused and panics, ""W-well it uhh seems we're out of time but t-thank you for joining me""",5
0,Odorous Smegma,3 days ago,Just want to punch bill in the face. It's one of those faces.,0
0,GizmoFromPizmo,3 days ago,"This Communist is an idiot.  Science is turning cartwheels in its grave because of the idiots like Bill Nye and his Leftist, Globalist vampire ilk.",0
0,Joshua Hooker,3 days ago,"Bill Nye: ""It's not an open question, it's a settled question.""
""I claim I do have the answers""
You can't question anything, shut up and listen to my authoritative stance on everything.
All hail god of the earth..",0
0,Kun,3 days ago,Teachers teach cause they cant do.,0
1,Paul Lucas,3 days ago,"God bless you Bill. Not everyone is ignorant like tucker /fox and all the 
d!ck they suck from trump. BERNIE 2020🤘",0
1,Rummy Sticks,3 days ago,"Kinda feel bad for Tucker, he's frustrated that he doesn't understand what most people do. What I don't get is why its anyone else's problem that he's too stupid to understand.",0
0,Zorro,4 days ago,"Climate change is always ongoing... just ask the dinosaurs who drove no SUV's, had no electrical power grid, no hydrocarbon emissions, no plastic straws, etc., etc.  The climate is cyclical and always changing, most often due to natural events.  Thanks Bill Nye for your ""pseudo-scientific"" views, straight from your mechanical engineering and actor's mouth.  You must thing you're qualified to be a scientist due to your acting career as ""Bill Nye the Science Guy?""  Well, based on that logic, I wonder if Aaron Burr considered himself a lawyer due to his acting career as ""Perry Mason?""  Consider this... The eruption of the 1883 Krakatoa volcano affected the climate more for a number of years more than any human activity in modern history could have (all independent of human intervention and carbon emissions from human activity and cow farts).  Humans have a minute impact on climate vis-a-vis atmospheric, solar, geological and planetary forces in constant motion with regards to Mother Earth.",0
1,TheZenith,4 days ago,Tucker you dumb arse.,0
1,Rino Stevenson,4 days ago,a god of facts and knowledge vs a god of facts and knowledge,0
1,The SunChaser,4 days ago,"Tucker: “What would the climate look like today if humans weren’t around speeding up the rate?”

Bill: “It would be like 1750s, because X, Y, and Z.

Tucker: “Lol you don’t know bro just shut up you don’t actually know that’s unknowable!”",1
0,Jarrod Yuki,4 days ago,Global warming is a hoax.,0
0,The Captain,5 days ago,Anyone who believes or follows Bill nye's is oh yeah just fine time a bigger idiot than he is.,0
0,John Smith,5 days ago,"As seeing as Bill Nye couldn't do it, could any climate change advocates tell us exactly how much human activity has impacted climate change?",0
0,Marc Fournier,5 days ago,Tucker gone fishing again. Trolling for suckers as usuall.,0
1,Brandon Dao,5 days ago,"What did we learn from this kids, debating goes absolutely no where so don’t waste your time",0
1,di torrisi,5 days ago,"The only reason I hit like is to have record of what I have watched.  So, count one less legitimate like.",1
1,di torrisi,5 days ago,"I only watch this tosser, tucker, for the sport!",1
0,Strait Jacket,5 days ago,bet he never heard of solar orbit.He seems to forget global cooling and tbe coming ice age from back in the 70s.What a fake and phoney,0
0,Mario Harvey,5 days ago,"Bill Nye arguing we should have had an ice age but we aren't now. Well thank God, an ice age would be life threatening for many people on the planet. Energy and natural resource use would go through the roof. Ice Age is almost scarier than global warming. At least we can grow food.",2
0,Red Ranger,5 days ago,"Bill Nye, the non-scientist , is projecting his own cognitive dissonance on real people and real scientists.  He’s a delusional moron.  He’s never been a scientist.  THERE’S NO SUCH THING AS MAN MADE CLIMATE CHANGE!!",1
0,Dale Flannery,5 days ago,Instead of going to a moron like him about climate change how about we ask somebody who knows exactly what the hell they're talking about I heard on Fox news from the man who created The Weather Channel not to me he is an expert on weather he's an expert on climate and he States that climate change is pure nonsense it's fiction climate change as bad as real as Star Trek,0
1,José Antonio Milla Brito,5 days ago,Tucker is a very ignorant person. That's criminal.,0
0,MovementExplore,5 days ago,"Bill said he is ""a member of"" those ""organizations""...",2
1,MonsterSaige,6 days ago,This is how long it takes you to interrupt me,5
0,Michael Smith,6 days ago,"I was at this arrogant pricks house out in the Valley a few years ago.  He seemed annoyed that I hadn't heard of him. When he mentioned ""Global Warming "" as it was referred to back then, I chuckled and developed a cocky smile which prompted him to say "" you aren't into Science are you?""...
I said ""Global warming isn't science. It's politics.""
He said "" oh really? then why are the polar caps melting""
I said  "" normal cycles repeating over hundreds of millions of years like it always has""
He began to tell me about the consensus and denial being a mental disorder...
I looked right at him and said "" ok show me the evidence that all the physicists are wrong when they say CO2's effect on atmospheric and surface temperatures and the people who want reduce the population on earth are telling us the truth""
He said "" You wouldn't understand the evidence if I showed you the data""
then asked me to leave after that...

I thought to myself ""What idiot would give this guy a TV show when he can't even manage his overgrown eyebrows?"" 
What an idiot...",1
0,Kertis Chiloquin,6 days ago,Mini ice age 1800s what brought many new settlers to America. Irish and the American potato! Famines in Europe around that time.,0
0,Joseph Giorgio,6 days ago,Boy like pulling teeth and he still didn't answer the question Bill Nye The Idiot guy,1
1,mattajas,6 days ago,The people working at fox must get totally uncapable of holding a decent conversation with people outside of work... I bet he struggles to keep it civil at bedtime when its time to read the old nappynap for the kids.,0
1,Alexander Collier,6 days ago,"I’m a huge tucker fanboy but mannnn, he looked a moron and got SCHOOLED this debate",0
0,Matt Stillwell,6 days ago,Bill nye likes to touch boys,1
1,Michael Suder,6 days ago,"Bill I agree that climate change is real but sure as Hell not because you said it. “We in the science community “. You’re a mechanical engineer which applies very basic physics so don’t lump yourself in with people like Richard Dawkins, Neil DeGrasse Tyson and Lawrence Krauss. Without humans Britain wouldn’t be able to grow grapes lol",0
1,joseph pallo,1 week ago,Politics are idiots.,1
0,mike cafano,1 week ago,"40 years ago the  liberals and bullshitting scientists political Democrats Assholes said we would be under water by now ?. 

What happened.",0
0,Trowa Maxwell,1 week ago,"To what degree is human activity causing climate change. The bill Nye says ""its not an open question human activity is causing climate change."" If there is a scientific study with factual data, wouldn't this so called scientist be able to provide such data??? His answer becomes political polarizing because there is no data to back up what he and others say and the further more the democrats are the one pushing this narrative like the world will end tomorrow. My goodness a first the dems were all about global cooling in tje 80s and now its global warming...... I MEAN PICK ONE ALREADY! Being a mechanical engineer dosent qualify him in all fields of science  it is not a science on its own.  Mechanical engineering is the discipline that applies engineering, physics, engineering mathematics, and materials science principles to design, analyze, manufacture, and maintain mechanical systems. ... It is the branch of engineering that involves the design, production, and operation of machinery. I never even finished school and I know this. I suggest some factual research is needed about the garbage people are being fed. Look up what material science means. None of this is qualified under EARTH SCIENCE.",0
0,sic ric,1 week ago,The climate is changing... It has since the dawn of time...if the left is worried so much about climate change and sea levels rising.. why do they keep buying waterfront?,2
0,tom thumb,1 week ago,Bill Nye was a mechanical engineer who quit to write comedy.  He knows about as much about climate change as the average person that’s being brainwashed by the MSM.,1
1,Fredde J,1 week ago,So when Tuckers worldview doesn’t fit with science it is healthy scepticism? Like him against SJW but here he just shows he is an idiot.,0
0,Nancy Ihrig,1 week ago,"SCIENTISTS should stay @ the four seasons hotel, bunker down until the SCIENTISTS come up with answers for sewage water in the drinking water... recycle water, yucky.",0
1,Steve Lamberts,1 week ago,"Carlson is a bigot - and an uneducated one at that. ""How fast is Tuesday?"" is also a simple question and requires an explanation, not an answer. 
It is so frustrating when idiots ask idiotic questions and expect a sane answer. Nye is not used to theist debates and assumes an honest interlocutor, which Carlson is not. That makes Nye look bad - even when he's just being honest.",1
1,Roxy roller,1 week ago,Pointless to watch.. this isn't a debate it's two goobers going back and forth reaching no conclusion.,2
0,Testing123,1 week ago,Tucker is right. Bill can't answer his questions because the science isnt known. Global warming/climate change is such a mess of an issue.,2
1,jurassic world adventure,1 week ago,"Carson sounds like cartman ""I'm asking questions"" episode",3
1,Gabriel Alvarez Marquez,1 week ago,Carlson needs to shut his trap when he expects an answer from people and needs to learn to stop interrupting,4
1,Super Dan,1 week ago,This conversation went absolutely nowhere.,11
1,Sean Heupel,1 week ago,"Tucker Carlson is a joke.  Two networks fired him for being too inflammatory, and now he's acting stupid (and as far as interviewers go, he is the bottom of the rung).  I don't see why he is still on television.  He's the villain we love to hate.",2
0,Eric Wall,1 week ago,"If the climate changes, what will it change into, can anyone say for certain what it will change into, has there ever been climate change that was good, is change always bad? Just some different questions than the usual on the subject. Please reply",1
1,Marcuss Wings,1 week ago,Fox news use to be good. But the hosts are starting to get rude.,1
0,Clint Deter,1 week ago,"What sank the titanic. Less then one percent of the world at that time made any of the gasses that they say, cause global warming. So how did late 1800 to early 1900 have more ice flow. With out the help of people, my big question is how do you stop all the volcanoes on earth because they, make more global warming gases than humans can in a hundred years. Far to many people do not think that what they pushed first was global warming, now its climate change hes a big idiot.",0
0,Jo Backson,1 week ago,"There's a reason he's called Bill Nye the Science Guy, not Bill Nye the Scientist and it's not strictly for rhyming purposes.",1
0,Michael Youmans,1 week ago,"7:57 bill asks tuck a question, then  starts a stop watch. Waits for Tucker to respond, then bill interrupted Tucker to let him see that it had been six seconds sence he started the watch and says ""this is how long it takes for you to interrupt me""
What a duchebag!",0
0,Wilt Williams,1 week ago,"""you said 10k years ago"" , was he even following",0
1,Jake PH,1 week ago,The fox news scum is wrong and people like him need to be stopped because they influence idiots to think the same wrong way they think,1
0,tom thumb,1 week ago,When has science ever gotten a prediction right?  Science fiction has a better record.,3
0,dino f,1 week ago,"So you're telling me that the ice age was caused by all the dinosaurs farting, lucky for climate change stopping the ice age otherwise it would be terribly cold right now.",3
0,robert,1 week ago,Who pays Bill Nye to speak as an authority,6
1,Pitchfork 17,1 week ago,That dumb founded look on Tucker's face just tells you he wasn't listening to a word Nye was trying to say. Typical media puppet.,2
0,Jeremy Cremen,1 week ago,Bill nye's knows about as much on climate change as AoC knows about economy,0
1,Terry Daktyl,1 week ago,Carlson in proof that Evolution sometimes plays dirty tricks.,14
0,Alan Ladd,1 week ago,What a dumbass Nye the non science guy.,0
0,King Panda,1 week ago,Bill is talking total B.S,0
0,eric ezaki,1 week ago,Bill Nye the science guy has an undergraduate degree in engineering. He was Chris LLoyd sidekick on the 1/2 hr comedy show in Seattle call almost Live,0
0,Zack Mcalpin,1 week ago,"Bill Nye merely has a degree in mechanical engineering. How does this make him an authority on climate change? He has no credibility or degree in this area. And he promotes evolution, yet has no degree in biology.",0
0,Hank,1 week ago,Bill Nye the the lie buy.,1
0,LeeKim JinYoon,1 week ago,Tucker did whoop him there.,0
1,Greg C,1 week ago,Tucker the tit!!!,0
1,Sejun Park,1 week ago,"From the comment section here, it aligns with the fact that America has one of the lowest education level (especially in science) among developed countries in the world. Surprising that so many Americans deny global warming is caused by human activities.",6
0,jim pap,1 week ago,""" When two people have a quarrel it is always  the fault of the smarter one"" Johann Wolfgang von Goethe


Bill Nye should have never been in this show.",10
0,David Whitmore,1 week ago,"Bill Nye simply refuses to STFU at any point.  He's a typical liberal whose position is agree with me or I will shout you down, try to not let you get a word in edgewise, and assign all sorts of derogatory labels to you.  He accuses Tucker of interrupting him when he's doing ALL the interrupting.  Unbelievable.  Talk about unhinged. What a sanctimonious whack job.",0
0,dlrunner,1 week ago,"Bill Nye is an engineer, not a scientist.  He is also a delusional liar.  Pathetic.",0
0,Steve Booth,1 week ago,What an absolute clown. Bill Nye the Old White Guy,0
1,Spirit,1 week ago,"""Slow down "" ""stop stop stop"" lol  , I don't think anyone can slow it down enough for fox news .......""name calling"" ? ?? All I heard was ""mr Carlson """,2
0,SuperJV4x,1 week ago,grand solar minimum is upon us,0
1,Troy Lee,1 week ago,"Bill NYE is a SCIENTIST, He does this for a living, Tucker tries repeatedly to FACT CHECK the scientists like he knows the answers. What? Let the man talk tucker, you had HIM on to teach you about this crisis then you don't listen to anything he has to say! You don't have to be so ""open minded"" about a topic where there is no DEBATE or need to be open minded its not political!",2
0,Platinum Diamond,1 week ago,the arrogance of the ignorant.,1
0,Mike Johnson,1 week ago,Bil Nye has bought it to the DemocRATic Socialist agenda to bring down AMERICA!,1
1,MonashSQ,1 week ago,Tugger you are doing a disservice to journalism and being a human. You suck,1
1,MonashSQ,1 week ago,Tugger still tugging,0
1,A Dumb Bitch,1 week ago,"zooms in On bills mouth

In the search for 100%",3
1,jay cousi,1 week ago,"F*ck Tucker,  Tucker sucks.  H/T George Carlin",0
0,jplasmid,1 week ago,climate change is BS. CLIMATE IS ALWAYS CHANGING.MOTHER EARTH WILL TAKE CARE OF HERSELF. Oh shoot i had capslock on.,0
0,SuperSaltydog77,1 week ago,"At one time scientists said that alcohol is bad for you, now it's ok; eggs are bad for you, now they are ok; butter is bad for you, now it's ok. Follow the money $$$ trail.",0
0,SuperSaltydog77,1 week ago,"Singers and other celebrities transform their identities to stay current and continue to make $$$, Bill Nye is just another con artist to see and seize those opportunities to make money off of gullible people.",0
1,Reese Richter,1 week ago,Tucker was just annoying in this one,4
1,Edward Jam,1 week ago,"Wow just wow, this is the network that Trumptards listen to and they prolly feel that idiot Carlson won this ""debate"".  Bill was like trying to talk to an ant explaining why over that hill there is another hill and another but Tucker was arguing but this is the only hill there is, what other hill is there.",0
1,ek aj,1 week ago,"“I am opened minded” 
continues to interrupt Bill 50 more times and doesn’t allow him to finish what he’s saying",4
1,jacoon50,1 week ago,"Youre all pretending like this isnt something.  Im done telling you youre wrondg!

If you want to love hell.  I no more tol you!!

You obviously approached this from a  wrong direction",0
1,jacoon50,1 week ago,"Noooo!!! The climate change is corely becuaese human allounance of breaking down tne cycle of mother earth and father time.
Youre never going to be Safe
You should ne concerned about what happens in for the future this country and the global idea of how the world, this world will elimate the causes of the disrespect",0
0,Jonas Van Poucke,1 week ago,The Ice age was 12000 years ago.... not tens of thousands... that guy is a fool,2
0,Jonas Van Poucke,1 week ago,The Sahara used to be a tropical paradise and in 60 years it turned into a dessert. THAT WAS 6000 YEARS AGO!!! DID THEY DRIVE SUV'S BACK THEN???,0
0,Jonas Van Poucke,1 week ago,"Climate change is a fact but doesn't has anything to do with humans. There's a climate change on Mars, Venus and Neptune. IT'S THE SUN!!! IT'S A CYCLE!!! YOU CAN'T TAX THE SUN INTO A CHANGE!!!",2
0,Kaiser,1 week ago,Nye is a paid shill,1
0,Rob Xx,1 week ago,"Over the last 100 years, the mean temp change has changed +1 degree.  One .  (2) MIT atmospheric scientists state that do change but the most volatile change in recorded weather history happened in 1840-1930.  They found that the earth goes through a major systematic change  every 1500 years.  Core samples from both poles have confirmed this on multiple accounts.  While  man does make an impact its much more minimal than the alarmists",1
1,John Bue,1 week ago,Tucker Carlson is like a chicken with his head cut off running around spewing complete and utter nonsense.,1
0,Harfast,1 week ago,Coming from a scientist that believes in 100s of genders. 95% of the earth's existence has been hotter than it is today. We've had our second hottest winter's day since recorded history. That would be 80/4.5 billion years. Do you see the pattern?,1
0,Krock The Indigo,1 week ago,6:03 🤔🤔🤔,1
0,Andreas Lechthaler,1 week ago,the Professor makes it even worse with all that hot air...,1
1,The Number Eight,1 week ago,Tucker is such a tool,0
1,Sexual Spastic Records,2 weeks ago,Tuck was in damage control the whole time,1
1,Jungle Estonian,2 weeks ago,I'm an Estonian Conservative but I'll never understand American Conservatives science denial on climate change. I think if I was America I'd probably support Antifa because of how much of a threat American conservatives are to our planet.,0
0,Clay FKN Brown,2 weeks ago,This is it. This is the video that made me question everything. Tucker Carlson red pilled me,0
0,Jimmy Wilson,2 weeks ago,"Bark beetle  , from not trimming are forests in California . One year where in droat, next minute we got to much water.",0
1,Pat M,2 weeks ago,"I don’t like Tucker, but he is a clever guy. He knew he was being out-debated by Bill, so he chose to railroad him. Tucker knows that if can’t win with his cunning that it’s just as entertaining to simply out-shout someone and be a prick.",0
0,Mr. Wavy McGrady,2 weeks ago,When you realise bill nye isn't a scientist but just has a engineering degree,0
1,Propeller Head,2 weeks ago,Tucker needs to shut up and let him speak.,2
0,Keith Good,2 weeks ago,"Poor Bill, that was brutally sad getting destroyed by Tucker in front of millions of people!!
Tucker knew Bill couldn't answer that question and Tucker wasn't going to let Bill slide by avoiding the question either so he kept hammering and hammering Bill!! How funny!!😂😂😂😂",1
0,Robert Beck,2 weeks ago,The climate has been changing since the birth of the planet. Liberals just need something to blame on humanity. The trash bag Bob Dole was the first to get rich by  pushing this garbage on libtarded folk some time ago.,0
1,Francisco Ibarra,2 weeks ago,8:10 I’m ded it took tucker 6 seconds to interrupt bill,1
0,Michael Bottjer,2 weeks ago,Bill Nye doesn't have a science degree. Bill Nye the Science Guy is an actor. His education is in engineering. Next time they should get a real scientist on the show.,0
0,Sharon Scott,2 weeks ago,How long have been using these things that’s he’s talking 50 years and it’s ending the world. And I can’t grow grapes here in Britain it’s still too cold here,0
0,Sharon Scott,2 weeks ago,So it’s the rich people that have created all the things that have caused it,0
0,Sharon Scott,2 weeks ago,Bill looks like an alien,0
0,Victor Germain,2 weeks ago,"Bill nye will never debate a real climate scientist that has ALL real data. Bill nye uses pieces of the science cherry picked for his own (paid for) agenda.
Any scientist who's funding is based on finding evidence of man made climate change, will find that evidence.",0
0,Carlo Rizzo,2 weeks ago,He's not answering the question.,1
1,joseph millett,2 weeks ago,Fuckishima and plastics in the pacific alone is changing everything. Tucker sucks in this argument.,1
0,joseph millett,2 weeks ago,He's not a real scientist trust me.,0
0,Dan D,2 weeks ago,Why doesn’t Bill ever debate anyone on climate change who is equally qualified and informed with facts?,1
1,KryptoKonvict,2 weeks ago,"For an interview that could of been great, all tucker did was focus on the most irrelevant part.",0
0,David Hess,2 weeks ago,"Bill, the moron guy; does biology have anything to do with gender? Biology IS settled science too.",0
0,David Hess,2 weeks ago,Wow... Bill Nye he engineer guy.... isn't a scientist at all.,2
1,The Mr. Man,2 weeks ago,Smart Scientist vs Triggered Conservative Boomer That Doesn't Know Anything About Science,1
0,Sam Ryan,2 weeks ago,"Bill Nye the lying guy
Or Bill Nye the dying guy



I'll be so excited when Bill is dead so we don't have a crazy man teaching lies to kids.",0
1,Dominica Larissa,2 weeks ago,4:40 dude Bill Nyr had me dying. Love his sarcasm AND brilliance ❤😂,0
1,smnsdndn dhs,2 weeks ago,Tucker asks questions that can't be answered. I thought he was smart,1
1,Joe Ubillos,2 weeks ago,This dude had to bring on bill nye to like smart and actually win a debate and he still looked stupid this was pointless Fox is retarted and tucker Carlson needs to just stfu already,1
0,김옥희,2 weeks ago,Nye is a hack.  He also believes trans is a thing.  He's a nut.,0
1,Mrs Dianna,2 weeks ago,This tucker man is a COMPLETE idiot! All that blabbering and screaming constantly interrupting. The fact Bill took his phone to LITERALLY time how long before interrupting again is disgusting. This clown should’ve been fired immediately. A disgrace indeed. Highly unprofessional.,1
1,Reggie Anderson,2 weeks ago,Bill Nye came on to inform the public of a real serious situation. Fox News let Bill Nye on to Humiliate and Discredit anything Bill had to say. Fox News don’t care about the truth. They just want their ratings up. Their viewers like drama and bullying of anyone of the democratic party. so that’s what they put out not necessarily false information but they leave out most of the entire truth. If that truth doesn’t boost ratings or add to their brain wash agendas. They are build a family of long time viewers by never changing who they are.,2
1,Reggie Anderson,2 weeks ago,Tucker does not know much. And very rude when speaking to guest. Tucker has no answers but calls everyone else liars because it’s not the information that he wants to hear. Tucker you are main stream media and one day you will look back and feel really bad about the person you are today.,0
1,Lyric,2 weeks ago,"“But but but wait wait wait wait, h-h-hold on hold on hold on” -Tucker Carlson",5
0,Matthew Blakey,2 weeks ago,Bill can’t give any kind of straight answer. Nothing he said was quantifiable nothing he said was scientific and he speaks in a demeaning manor. He is preaching religion. He doesn’t actually know any succinct answer to what Tucker is answering and it’s painful to watch.,0
1,DpidSoud,2 weeks ago,Tucker Carlson fuaqing sucks,0
0,Dropping ATruth,2 weeks ago,"""You pretend that you know but you don't know. "" classic! 😂👍",1
0,jacegil,2 weeks ago,"Bill ''we in the scientific community'' Nye has the eyes of a madman. He's at heart a joyless, sanctimonious activist.",1
1,Dan M,2 weeks ago,The only thing i dont get about republicans is y they dont believe in man made climate change. Cmon its really obvious .Is a volcano that releases Co2 into the environment any different than humans releasing CO2? If you dont believe just wait a few more years. ppl are populating exponentially  and polluting the environment exponentially. how can increasing populations and polluting not create climate change?,1
0,Hill C,2 weeks ago,"Everybody do not forget that back in 1976 the bill Moyer's journal show on PBS said that the Earth was going into an ice age.
Now all the sudden the so called partisan leftist hypocrite dishonest  climate model liars are saying that we are warming up. Nice try bill Nye ""the science guy"" ask any legit scientist and they will tell you that it takes thousands of years for this to happen not 40 years.
A volcano and many more eruptions on a regular basis would  definitely  affect the climate.",1
0,William Finnegan,2 weeks ago,"I’m an engineer, my kids are all engineers/science grads....I wouldn’t let them watch this guy when they were   Of that age.",2
1,Demetri Thomas,2 weeks ago,"Once someone insults your intelligence, you've won the argument.. Ignorance only yells.. Like tucker did and does every time",0
0,Hill C,2 weeks ago,"Bill Nye is so full of Sh....ttt
I am an average person and I know that the leftist climate models are a bunch of doctored up bull sh....tt
They base their climate model on the last 100 years or so.
They do not even bring up the scientific evidence that the Earth was warming some 2000 years ago and yes there weren't airports and paved parking lots 2000years ago.
This global warming scam is for profit and transfer of wealth .they want to financially punish hard working Americans in the form of bull sh....ttt energy taxes.
It's the leftist rich liberal globalist hypocrite thug elletest dishonest way to say is they want to control every part of our existence  and I guarantee you global warming and global cooling will not be affected by man kind .",0
0,Dennis G,2 weeks ago,Bill Nye the BS guy!    He should stick to glitzy science experiments on TV.,1
1,Marvin Pineda,2 weeks ago,"Tucker is arguing the rate of what causes climate change. Scientist Bill Nye reinforces the argument with time, and reduces the conflict affected by minimizing the length of that time it takes. Tucker mentions people being the cause and to what degree. Here’s where the simple factor comes around. The uncontrollable variable is The Beach. The variable that’s causing this is gasoline. Why Scientist Bill Nye mentioned commerce from other countries was for the difference in product & business happening between The Beach and Streets. Yeah. It’s getting hot. But may be for Tucker where he is, it is. So why isn’t it taken care of? Perhaps inland it’s worse.",0
1,Brent C,2 weeks ago,Holy heck this guy is annoying. This was just a child denying facts and logic and a guy having to keep his cool.,0
0,Deena James,2 weeks ago,"Science no longer exists in the western world.
Reason and logic no longer exist 
Masculinity used to keep lunatics in check",2
0,Makario Santiaguero Jaramillo,2 weeks ago,il is not a dr. hes is nothing and anyone who listens to beill needs to be commited,0
1,Goku Black,2 weeks ago,I guess Tucker thinks climate change only changes the temperature of air .,3
1,Micha Grobi,2 weeks ago,Bill Nye the LOGIC Science guy LOL,0
1,yeehaw,2 weeks ago,Can somebody just shoot Tucker. please.,0
1,Emma 669,2 weeks ago,"Lol, he keeps asking questions, which Nye had already answered.",0
0,PianoMan 2018,2 weeks ago,Nye should be NYET. As in “no”. Climate change is a scam to put money into somebody’s pockets. It’s our duty to figure out who’s.,2
0,Mark Gwarbowski,2 weeks ago,"Bill is not a science guy,he's an actor with no degrees, 
The Russian actor from Rocky lll, has more degrees then any science person,,
Do some research filthy humans...",2
1,Logan B,2 weeks ago,"Tucker: What is your name
Me: Logan
Tucker: YOUR NOT ANSWERING MY QUESTION",8
